type,priority,message,trip_id,driver_id
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV002_04,DRV002
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV002_04,DRV002
safety,high,Trip TRIP_DRV002_05 had elevated risk. Consider taking a break.,TRIP_DRV002_05,DRV002
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV002_05,DRV002
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV002_05,DRV002
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV002_06,DRV002
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV002_06,DRV002
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV002_07,DRV002
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV002_07,DRV002
safety,high,Trip TRIP_DRV002_08 had elevated risk. Consider taking a break.,TRIP_DRV002_08,DRV002
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV002_08,DRV002
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV002_08,DRV002
safety,high,Trip TRIP_DRV003_01 had elevated risk. Consider taking a break.,TRIP_DRV003_01,DRV003
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV003_01,DRV003
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV003_01,DRV003
safety,high,Trip TRIP_DRV003_02 had elevated risk. Consider taking a break.,TRIP_DRV003_02,DRV003
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV003_02,DRV003
correlation,high,2 events where driving and stress coincided. These require attention.,TRIP_DRV003_02,DRV003
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV003_02,DRV003
safety,high,Trip TRIP_DRV003_03 had elevated risk. Consider taking a break.,TRIP_DRV003_03,DRV003
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV003_03,DRV003
correlation,high,1 events where driving and stress coincided. These require attention.,TRIP_DRV003_03,DRV003
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV003_03,DRV003
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV003_04,DRV003
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV003_04,DRV003
safety,high,Trip TRIP_DRV003_05 had elevated risk. Consider taking a break.,TRIP_DRV003_05,DRV003
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV003_05,DRV003
correlation,high,2 events where driving and stress coincided. These require attention.,TRIP_DRV003_05,DRV003
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV003_05,DRV003
safety,high,Trip TRIP_DRV003_06 had elevated risk. Consider taking a break.,TRIP_DRV003_06,DRV003
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV003_06,DRV003
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV003_06,DRV003
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV003_07,DRV003
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV003_07,DRV003
route,high,"Hard-brake zone at (12.919, 77.63). Consider alternate route.",ALL,ALL
route,high,"Hard-brake zone at (12.922, 77.63). Consider alternate route.",ALL,ALL
route,high,"Hard-brake zone at (12.932, 77.626). Consider alternate route.",ALL,ALL
route,high,"Hard-brake zone at (12.934, 77.641). Consider alternate route.",ALL,ALL
route,high,"Hard-brake zone at (28.629, 77.216). Consider alternate route.",ALL,ALL
route,high,"Hard-brake zone at (28.63, 77.2). Consider alternate route.",ALL,ALL
